INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
4411,Iranian Journal of Basic Medical Sciences,20083866,0.604,0.243,0.324,0,0,0
4412,Iranian Journal of Biotechnology,17283043,0.536,0,0,0,0,0
4413,Iranian Journal Of Chemistry & Chemical Engineering-International English Edition,10219986,0.189,0.238,0.25,0,0.155,0.134
4414,Iranian Journal of Environmental Health Science & Engineering,17351979,1.012,1.227,1.181,1.072,0,0
4415,Iran J Fertil Steril,17358094,0,0,0,0,0.28,0
4416,Iranian Journal Of Fisheries Sciences,15622916,0.32,0.614,0.984,0.158,0,0
4417,Iranian Journal of Fuzzy Systems,17350654,0,0,1.056,0.592,0.421,0
4418,Iranian Journal of Immunology,17351383,0.707,0,0,0,0,0
4419,Iranian Journal of Kidney Diseases,17358582,0.979,0.94,0.87,0,0,0
4420,Iran J Ophthalmol,17354153,0,0.086,0.065,0.096,0,0
4421,Iranian Journal of Parasitology,17357020,0.872,0.326,0.421,0.605,0,0
4422,Iranian Journal of Pediatrics,20082142,0.344,0.258,0.292,0.148,0.131,0
4423,Iranian Journal of Pharmaceutical Research,17350328,0.51,0.54,0.637,0.651,0.235,0
4424,Iranian Journal Of Public Health,22516085,0.576,0.405,0.378,0,0,0
4425,Iranian Journal of Radiation Research,17284554,0.329,0.403,0.262,0,0.125,0
4426,Iranian Journal of Radiology,17351065,0.177,0.039,0.053,0.08,0,0
4427,Iran J Reprod Med,16806433,0,0.188,0.257,0.235,0.183,0
4428,Iranian Journal of Science and Technology Transaction A-Science,10286276,0,0.2,0.029,0,0,0.059
4429,Iranian Journal Of Science And Technology Transaction B-Engineering,10286284,0,0.719,0.375,0.283,0.505,0.265
4430,Iranian Journal of Veterinary Research,17281997,0.217,0.159,0.281,0.079,0.016,0
4431,Iranian Polymer Journal,10261265,1.469,1.053,0.936,1.189,0.932,1.072
4432,Iranian Red Crescent Medical Journal,20741804,0.504,0.333,0.371,0.36,0.071,0
4433,Irbm,19590318,0.38,0.398,0.315,0.295,0,0
4434,Irish Journal Of Agricultural And Food Research,07916833,0.375,0.324,1,0.4,0.806,0.233
4435,Irish Journal Of Medical Science,00211265,0.573,0.506,0.581,0.661,0.696,0.352
4436,Irish Veterinary Journal,03680762,1.706,0.443,0.331,0.333,0.132,0.142
4437,Ironmaking & Steelmaking,03019233,0.553,0.454,0.559,0.427,0.365,0.435
4438,Irrigation And Drainage,15310353,0.717,0.685,0.922,0.552,1.108,0.48
4439,Irrigation Science,03427188,2.843,2.289,1.635,2.113,1.753,1.891
4440,Isa Transactions,00190578,2.256,1.626,1.109,0.916,1,0.575
4441,ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,13003615,0.111,0.265,0.229,0.179,0.208,0
4442,Isij International,09151559,1.069,1.147,0.895,0.742,0.902,0.817
4443,Isis,00211753,0.818,0.915,0.779,1,0.754,0.643
4444,ISJ-Invertebrate Survival Journal,1824307X,1.062,1.059,0,0,0,0
4445,Island Arc,10384871,1.055,1.071,1.012,1.027,1.182,1.038
4446,Islets,19382014,1.585,1.545,1.123,0,0,0
4447,ISME Journal,17517362,9.267,8.951,7.375,6.153,6.397,5.029
4448,Isokinetics And Exercise Science,09593020,0.354,0.609,0.349,0.242,0.221,0.221
4449,Isotopes In Environmental And Health Studies,10256016,1.294,0.7,0.9,0.967,1.063,1.016
4450,Isprs Journal Of Photogrammetry And Remote Sensing,09242716,2.902,3.313,2.885,2.158,2.308,2.293
4451,Israeli Journal Of Aquaculture-Bamidgeh,0792156X,0.424,0.432,0.944,0.426,0.313,0.25
4452,Israel Journal Of Chemistry,00212148,2.561,3.025,1.535,0.794,0.547,0.467
4453,Israel Journal of Ecology & Evolution,15659801,0.302,0.444,0.388,0.974,0.725,0.842
4454,Israel Journal Of Mathematics,00212172,0.659,0.646,0.745,0.63,0.754,0.625
4455,Israel Journal Of Plant Sciences,07929978,0.419,0.259,0.307,0.312,0.42,0.369
4456,Israel Journal Of Psychiatry And Related Sciences,03337308,0.716,1.362,0.676,0.623,0,0
4457,Israel Journal Of Veterinary Medicine,03349152,0.2,0.18,0.296,0.209,0.086,0.256
4458,Israel Medical Association Journal,15651088,0.903,0.978,1.018,0.953,0.898,0.626
4459,Issues In Science And Technology,07485492,1.059,0.518,0.652,0.479,0.562,0.825
4460,IT Professional,15209202,0.495,0.482,0,0,0,0
4461,Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,20385625,0.654,0,0,0,0,0
4462,Italian Journal of Animal Science,15944077,0.604,0.789,0.342,0.258,0,0.132
4463,Italian Journal Of Food Science,11201770,0.2,0.444,0.534,0.5,0.386,0.462
4464,Italian Journal of Geosciences,20381719,1.679,0.875,0.273,,0,0
4465,Italian Journal of Pediatrics,17208424,1.236,1.344,0.791,0,0,0
4466,Rivista Italiana di Telerilevamento,11298596,0.925,0.328,0.295,0.241,0,0
4467,Italian Journal of Vascular and Endovascular Surgery,18244777,0.078,0.043,0.028,0.101,0,0
4468,Italian Journal Of Zoology,11250003,0.865,0.89,0.939,0.843,0.8,0.552
4469,Ite Journal-Institute Of Transportation Engineers,01628178,0.147,0.095,0.112,0,0,0
4470,ITEA-Informacion Tecnica Economica Agraria,16996887,0.292,0.349,0.25,0.119,0.066,0
4471,Iubmb Life,15216543,2.755,2.789,3.514,4.251,3.578,2.364
4472,Izvestiya Atmospheric And Oceanic Physics,00014338,0.597,0.728,0.441,0.528,0.371,0.457
4473,Izvestiya Mathematics,10645632,0.5,0.64,0.488,0.494,0.635,0.494
4474,Izvestiya-Physics Of The Solid Earth,10693513,0.494,0.402,0.317,0.34,0.36,0.441
4475,Journal Of Aapos,10918531,1.142,0.731,1.028,1.062,1.07,1.166
4476,Journal of the Academy of Nutrition and Dietetics,22122672,2.444,,0,0,0,0
4477,Journal Of The Acm,00045411,2.939,2.37,2.353,3.375,2.717,2.339
4478,Journal Of The Acoustical Society Of America,00014966,1.555,1.646,1.55,1.644,1.523,1.717
4479,Journal Of Addiction Medicine,19320620,1.705,1.726,1.951,1.071,0.754,0.897
4480,Journal Of Addictions Nursing,10884602,0.34,0.31,0.528,0.256,0.171,0.316
4481,Journal Of Adhesive Dentistry,14615185,1.435,0.905,1.114,1.589,1.638,1.623
4482,Journal Of Adhesion Science And Technology,01694243,1.091,0.9,0.948,0.98,1.175,0.869
4483,Journal Of Adhesion,00218464,0.897,0.857,1.31,1.066,0.688,0.685
4484,Journal Of Adolescent Health,1054139X,2.748,2.966,3.334,3.116,3.325,2.91
4485,Journal of Advanced Concrete Technology,13468014,0.508,0.554,0.477,0.573,0.643,0
4486,Journal Of Advanced Materials,10709789,0.062,0,0.177,0.228,0.245,0.14
4487,Journal of Advanced Mechanical Design Systems and Manufacturing,18813054,0.279,0.494,0.205,0.262,0.21,0
4488,Journal of Advances in Modeling Earth Systems,19422466,5.149,4.114,0,0,0,0
4489,Journal Of Advanced Nursing,03092402,1.685,1.527,1.477,1.54,1.518,1.654
4490,Journal Of Advanced Oxidation Technologies,12038407,1.106,0.946,0.806,0.829,0.791,0.495
4491,Journal of Advanced Prosthodontics,20057806,0.631,0,0,0,0,0
4492,Journal Of Advanced Transportation,01976729,1.878,0.733,0.643,0.65,0.727,1.207
4493,Journal of Aerospace Computing Information and Communication,19403151,0.281,0.214,0.281,0.284,0,0
4494,Journal Of Aerosol Medicine And Pulmonary Drug Delivery,19412711,2.395,2.894,2.2,2.148,1.824,0
4495,Journal Of Aerosol Medicine-Deposition Clearance And Effects In The Lung,08942684,0,0,0,0,1.612,2.108
4496,Journal Of Aerosol Science,00218502,2.705,2.686,2.447,2.192,2.529,2.239
4497,Journal Of Aerospace Engineering,08931321,0.926,0.778,0.697,0.42,0.714,0.907
4498,Journal Of Affective Disorders,01650327,3.705,3.295,3.517,3.74,3.763,3.271
4499,Journal Of African Earth Sciences,1464343X,1.382,1.229,1.025,1.186,0.875,1.219
4500,Journal Of Aging And Physical Activity,10638652,1.411,1.852,2.085,1.823,1.548,1.66
4501,Journal Of Agricultural Biological And Environmental Statistics,10857117,0.783,1.235,1.21,0.722,0.684,1.339
4502,Journal Of Agricultural Economics,0021857X,0.974,1.5,1.551,0.969,1.155,1.271
4503,Journal Of Agricultural & Environmental Ethics,11877863,1.25,1.296,1.109,0.961,0.75,0.982
4504,Journal Of Agricultural And Food Chemistry,00218561,3.107,2.906,2.823,2.816,2.469,2.562
4505,Journal Of Agricultural And Resource Economics,10685502,0.433,0.671,0.71,0.75,0.474,0.412
4506,Journal Of Agriculture And Rural Development In The Tropics And Subtropics,16129830,0,0.107,0.247,0.274,0.346,0.214
4507,Journal of Agricultural Science and Technology,16807073,0.679,0.685,0.436,0.255,0,0
4508,Journal Of Agricultural Science,00218596,2.891,2.878,2.041,1.418,1.658,1.471
4509,Journal Of Agriculture Of The University Of Puerto Rico,0041994X,0,0,0,0.023,0.077,0.204
4510,Journal Of Agricultural And Urban Entomology,15235475,0,0,0.111,0.057,0,0
4511,Journal of Agromedicine,1059924X,0.924,0.721,0.559,0,0,0
4512,Journal of Agrometeorology,09721665,0.162,0.146,0.114,0.142,0.065,0
4513,Journal Of Agronomy And Crop Science-Zeitschrift Fur Acker Und Pflanzenbau,09312250,2.618,2.151,2.433,1.952,2.283,1.515
4514,Journal Of The Air & Waste Management Association,10962247,1.171,1.204,1.517,0,0,0
4515,Journal Of Aircraft,00218669,0.488,0.632,0.538,0.535,0.591,0.452
4516,Journal Of Algebraic Combinatorics,09259899,0.721,0.634,0.752,0.704,1.137,0.774
4517,Journal Of Algebra And Its Applications,02194988,0.373,0.342,0.483,0.402,0.443,0
4518,Journal Of Algebra,00218693,0.604,0.583,0.613,0.615,0.632,0.63
4519,Journal Of Algebraic Geometry,10563911,1.061,1.171,0.932,1.326,1.543,1.115
4520,J Algorithms,01966774,0,0,0.5,0.667,0.444,0.943
4521,Journal Of Allergy And Clinical Immunology,00916749,11.248,12.047,11.003,9.273,9.165,9.773
4522,Journal Of Alloys And Compounds,09258388,2.726,2.39,2.289,2.134,2.135,1.51
4523,Journal Of Alternative And Complementary Medicine,10755535,1.518,1.464,1.585,1.498,1.685,1.628
4524,Journal Of Alzheimers Disease,13872877,3.612,4.174,3.745,4.261,3.832,5.101
4525,Journal Of The American Academy Of Audiology,10500545,1.59,1.63,1.296,0.797,0.879,1.035
4526,Journal Of The American Academy Of Child And Adolescent Psychiatry,08908567,6.354,6.97,6.444,5.148,4.983,4.845
4527,Journal Of The American Academy Of Dermatology,01909622,5.004,4.906,3.991,4.274,4.105,4.081
4528,Journal Of The American Academy Of Nurse Practitioners,10412972,0.868,0.709,0.818,0.908,0.907,0.823
4529,Journal Of The American Academy Of Orthopaedic Surgeons,1067151X,2.403,2.455,2.662,2.547,1.58,2.25
4530,Journal Of The American Animal Hospital Association,05872871,0.783,0.758,0.964,0.711,0.755,0.968
4531,Journal of the American Association for Laboratory Animal Science,15596109,0.731,1.145,0.708,0.805,0.95,0.517
4532,Journal Of The American Board Of Family Medicine,15572625,1.848,1.758,2.053,1.987,2.106,2.097
4533,Journal Of The American Ceramic Society,00027820,2.428,2.107,2.272,2.167,1.944,2.101
4534,Journal Of The American Chemical Society,00027863,11.444,10.677,9.907,9.019,8.58,8.091
4535,Journal Of The American College Of Cardiology,07351097,15.343,14.086,14.156,14.292,12.535,11.438
4536,Journal Of The American College Of Nutrition,07315724,1.676,1.738,2.29,1.95,2.362,2.162
4537,Journal of the American College of Radiology,15461440,2.283,2.096,0,0,0,0
4538,Journal Of The American College Of Surgeons,10727515,4.454,4.5,4.549,4.241,3.651,3.692
4539,Journal Of The American Dental Association,00028177,2.238,1.822,1.773,2.195,1.726,1.849
4540,Journal Of The American Dietetic Association,00028223,3.922,3.797,3.586,3.244,3.128,2.868
4541,Journal Of The American Geriatrics Society,00028614,4.216,3.978,3.737,3.913,3.656,3.805
4542,Journal of the American Heart Association,20479980,2.882,0,0,0,0,0
4543,Journal Of The American Helicopter Society,00028711,0.627,0.514,0.549,0.393,0.254,0.467
4544,Journal Of The American Leather Chemists Association,00029726,0.714,0.644,0.747,0.538,0.564,0.659
4545,Journal Of The American Mathematical Society,08940347,3.061,3.567,3.841,3.411,3.411,2.476
4546,Journal of the American Medical Directors Association,15258610,4.781,5.302,4.645,4.492,3.709,3.467
4547,Journal Of The American Medical Informatics Association,10675027,3.932,3.571,3.609,3.078,3.974,3.428
4548,Journal Of The American Mosquito Control Association,8756971X,0.827,0.755,0,1.066,0.906,0.894
4549,Journal Of The American Oil Chemists Society,0003021X,1.62,1.592,1.773,1.587,1.803,1.504
4550,Journal Of The American Pharmaceutical Association,15443191,0.929,1.156,1.476,1.329,0.984,1.203
4551,Journal Of The American Podiatric Medical Association,87507315,0.574,0.768,0.567,0.523,0.598,0.586
4552,Journal Of The American Pomological Society,15273741,0.2,0.314,0.429,0.522,0.444,0.473
4553,Journal Of The American Society Of Brewing Chemists,03610470,0.861,1,1.016,1.068,0.795,0.793
4554,Journal Of The American Society Of Echocardiography,08947317,3.987,4.277,3.707,3.518,2.981,2.256
4555,Journal Of The American Society For Horticultural Science,00031062,1.047,1.122,0.938,0.905,1.009,0.972
4556,Journal of the American Society of Hypertension,19331711,2.68,2.835,2.123,0,0,0
4557,Journal Of The American Society For Information Science And Technology,15322882,2.23,2.005,2.081,2.137,2.3,1.954
4558,Journal Of The American Society For Mass Spectrometry,10440305,3.193,3.592,4.002,3.83,3.391,3.181
4559,Journal Of The American Society Of Nephrology,10466673,9.466,8.987,9.663,8.288,7.689,7.505
4560,Journal Of The American Statistical Association,01621459,2.114,1.834,1.992,2.063,2.322,2.394
4561,Journal Of The American Water Resources Association,1093474X,2.074,1.956,1.782,1.373,1.618,1.208
4562,Journal American Water Works Association,21644535,0.516,0.627,0.633,0,0,0
4563,Journal of Ambient Intelligence and Smart Environments,18761364,1.082,1.298,0.63,1.5,0,0
4564,Journal Of Analytical And Applied Pyrolysis,01652370,3.07,2.56,2.487,2.234,2.311,1.911
4565,Journal Of Analytical Atomic Spectrometry,02679477,3.396,3.155,3.22,4.372,3.435,4.028
4566,Journal Of Analytical Chemistry,10619348,0.812,0.616,0.747,0.65,0.604,0.662
4567,Journal D Analyse Mathematique,00217670,0.838,0.836,0.783,1.027,0.633,0.675
4568,Journal of Analytical Methods in Chemistry,20908865,0.948,,0,0,0,0
4569,Journal Of Analytical Toxicology,01464760,2.627,2.107,2.022,1.545,1.867,1.665
4570,J Anat Soc India,00032778,0,0.058,0.056,0.05,0,0
4571,Journal Of Anatomy,00218782,2.227,2.357,2.37,2.41,2.134,2.063
4572,Journal Of Andrology,01963635,1.694,2.532,2.968,3.141,2.344,2.396
4573,Journal of Anesthesia,09138668,1.117,0.867,0.831,0.718,0.837,0
4574,Journal Of Animal Breeding And Genetics-Zeitschrift Fur Tierzuchtung Und Zu,09312668,2.059,1.654,1.455,1.574,1.706,1.077
4575,Journal Of Animal Ecology,00218790,4.726,4.841,4.937,4.457,3.714,4.22
4576,Journal Of Animal And Feed Sciences,12301388,0.591,0.757,0.636,0.659,0.692,0.386
4577,Journal Of Animal Physiology And Animal Nutrition,09312439,1.317,1.254,0.855,1.106,1.229,1.171
4578,Journal of Animal and Plant Sciences,10187081,0.549,0.638,0.585,0.25,0,0
4579,Journal Of Animal Science,00218812,1.92,2.093,2.096,2.58,2.466,2.123
4580,Journal of Animal and Veterinary Advances,16805593,0,0.365,0.39,0.292,0.176,0
4581,Journal des Anti-Infectieux,22106545,0.078,0.034,0,0,0,0
4582,Journal Of Antibiotics,00218820,2.041,2.191,1.651,1.628,1.628,1.272
4583,Journal Of Antimicrobial Chemotherapy,03057453,5.439,5.338,5.068,4.659,4.352,4.328
4584,Journal Of Aoac International,10603271,1.385,1.233,1.199,1.229,1.216,1.122
4585,Journal Of Apicultural Science,16434439,0.817,0.529,0.674,0.489,0,0
4586,Journal Of Apicultural Research,00218839,1.363,1.926,1.531,1.028,0.694,0.6
4587,Journal Of Applied Animal Research,09712119,0.479,0.123,0.4,0.218,0.193,0.178
4588,Journal Of Applied Animal Welfare Science,10888705,0.694,0.891,0.729,0.593,0.712,0.66
4589,Journal of Applied Biomaterials & Biomechanics,17226899,1.16,1.542,0.761,0.544,0.944,0
4590,Journal of Applied Biomaterials & Functional Materials,22808000,0.905,,0,0,0,0
4591,Journal Of Applied Biomechanics,10658483,0.904,1.259,0.761,1.078,0.81,1.197
4592,Journal of Applied Biomedicine,1214021X,1.775,0.978,1.933,1.689,0,0
4593,Journal Of Applied Botany And Food Quality-Angewandte Botanik,1439040X,0.814,0.34,0.429,0.391,0.523,0.482
4594,Journal Of Applied Clinical Medical Physics,15269914,1.11,0.959,1.291,1.008,1.168,1.225
4595,Journal Of Applied Crystallography,00218898,3.95,3.343,5.152,3.794,3.018,3.212
4596,Journal Of Applied Ecology,00218901,4.754,4.74,5.045,4.97,4.197,4.56
4597,Journal Of Applied Electrochemistry,0021891X,2.147,1.836,1.745,1.494,1.697,1.54
4598,Journal Of Applied Entomology-Zeitschrift Fur Angewandte Entomologie,09312048,1.701,1.56,1.311,1.276,1.436,1.111
4599,Journal of Applied Fluid Mechanics,17353572,0.505,0.263,0,0,0,0
4600,Journal Of Applied Genetics,12341983,1.902,1.847,1.664,1.482,1.324,1.351
